city,id,adType,propertyType,accountType,surfaceArea,roomsQuantity,bedroomsQuantity,heating,hasCellar,toiletQuantity,floorQuantity,hasElevator,floor,energyClassification,greenhouseGazClassification,isInCondominium,agencyFeePercentage,newOrOld,price,pricePerSquareMeter,priceHasDecreased,district.libelle,district.id,workToDo,bathroomsQuantity,hasGarden,annualCondominiumFees,isDuplex,hasAlarm,terracesQuantity,hasPool,balconyQuantity,firePlacesQuantity,surfaceArea_bins,price_bins
Paris 14e,ag750524-356504104,buy,flat,agency,95.0,5,3.0,gaz collectif,True,1.0,7.0,True,1.0,E,E,True,1.1,old,920000,9578.947368421053,False,Didot - Porte de Vanves,100491,None,1.0,False,3526.0,False,False,0.0,False,0.0,0.0,large,expensive
Paris 13e,ag755464-362778145,buy,flat,agency,165.0,5,4.0,gaz collectif,True,2.0,9.0,True,6.0,D,D,False,5.08,old,1550000,8939.39393939394,False,Butte-aux-Cailles,300695,None,3.0,False,0.0,False,False,0.0,False,1.0,0.0,extralarge,veryExpensive
Paris 7e,apimo-7514240,buy,flat,agency,57.1,2,1.0,Radiateur Collectif ,False,1.0,6.0,True,3.0,F,E,False,5.0,None,837000,14658.4938704028,False,Champ de Mars,100535,False,1.0,False,0.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 14e,ag750524-359345338,buy,flat,agency,116.0,5,4.0,gaz individuel,True,2.0,6.0,True,6.0,E,E,False,4.92,old,1322000,10862.068965517241,False,Jean Moulin - Porte d'Orléans,100492,None,2.0,False,0.0,False,False,0.0,False,0.0,0.0,large,veryExpensive
Paris 14e,ag750523-357461143,buy,flat,agency,65.0,3,2.0,électricité individuel,True,1.0,6.0,True,4.0,C,A,False,3.38,old,765000,11384.615384615385,False,Pernety,100495,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 20e,apimo-6822936,buy,flat,agency,9.8,1,0.0,Central Gaz Collectif ,False,1.0,6.0,True,3.0,NS,NS,False,7.216494845360824,None,104000,9897.959183673469,False,Saint-Blaise,100444,True,1.0,False,0.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 10e,ag753610-362388397,buy,flat,agency,95.0,4,2.0,électricité individuel,True,2.0,6.0,True,0.0,F,C,True,5.0,old,1049000,10545.21052631579,False,Château d'Eau - Lancry,100518,None,1.0,False,2682.0,True,False,1.0,False,0.0,0.0,large,veryExpensive
Paris 15e,ag751877-362108821,buy,flat,agency,33.0,2,1.0,électricité individuel,False,1.0,5.0,True,3.0,E,B,False,5.0,old,399000,11515.151515151516,False,Pasteur - Montparnasse,100482,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 14e,ag750523-361946944,buy,flat,agency,23.0,2,1.0,électricité individuel,True,1.0,2.0,False,2.0,E,B,True,4.55,old,345000,14347.826086956522,False,Mouton - Duvernet,100494,None,1.0,False,3526.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 5e,ag753659-361088860,buy,flat,agency,44.0,2,1.0,électricité individuel,True,1.0,5.0,True,2.0,E,B,True,4.02,old,595000,13000.0,False,Sorbonne - Quartier Latin,100548,None,1.0,False,3526.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 14e,ag750523-360634834,buy,flat,agency,86.0,4,2.0,gaz collectif,True,1.0,7.0,True,3.0,E,E,True,3.95,old,920000,10290.697674418605,False,Jean Moulin - Porte d'Orléans,100492,None,1.0,False,3526.0,False,False,0.0,False,0.0,0.0,large,expensive
Paris 7e,ag753637-360620413,buy,flat,agency,30.0,2,1.0,électricité individuel,False,1.0,6.0,True,6.0,E,B,False,4.65,old,450000,14333.333333333334,False,Champ de Mars,100535,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 14e,ag750524-360002932,buy,flat,agency,58.0,2,1.0,collectif,True,1.0,11.0,True,0.0,F,E,False,5.0,old,630000,10344.827586206897,False,Jean Moulin - Porte d'Orléans,100492,None,1.0,False,0.0,False,False,1.0,False,0.0,0.0,middle,expensive
Paris 14e,ag751877-359483746,buy,flat,agency,86.0,4,2.0,gaz collectif,True,1.0,6.0,True,6.0,D,D,False,6.0,old,1012300,11104.651162790698,True,Montparnasse - Raspail,100496,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,large,veryExpensive
Paris 15e,ag753010-359301088,buy,flat,agency,83.0,3,2.0,collectif,True,1.0,6.0,True,1.0,D,E,False,4.48,old,700000,8072.289156626506,False,Alleray - Procession,100483,None,1.0,False,0.0,False,False,0.0,False,1.0,0.0,large,expensive
Paris 7e,hektor-1_ROYALIMMO-4757,prestige,flat,agency,350.56,7,3.0,None,True,4.0,6.0,True,3.0,C,C,True,3.92,None,6500000,17842.85614445459,False,Champ de Mars,100535,None,2.0,False,13264.0,False,False,0.0,False,0.0,0.0,extralarge,veryExpensive
Paris 14e,ag750524-358219072,buy,flat,agency,73.0,4,3.0,gaz collectif,True,2.0,9.0,True,7.0,NS,D,False,3.69,old,703000,9287.671232876712,False,Didot - Porte de Vanves,100491,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,middle,expensive
